ababa addis -1	Up to seven people were killed when forces fire on demonstrators in Addis Ababa on May 29 .
able read 2	Only in the last hundred years have most people in the developed world been able to read and write .
able say 2	It may be that there is no - every theist should be able to say that .
able show 2	Businesses for the support are in the small to range , employing five to 50 people and must be able to show their viability and for growth .
able take 2	Examples are Hakea ( Proteaceae , Australia ) and that have been able to take in the .
able talk 2	Sales Desk staff would be able to talk to customers and simultaneously operate a VDU obtaining instant information .
able tell 2	We have various ways of information which your line manager and colleagues will be able to tell you about .
able understand 2	We need to go some way towards knowing ourselves and in to be able to understand and help others .
able wo -4	Mrs Aggie , I do n't want to go to a school where I wo n't be able to get out and come home .
abortion anti -1	Nor is an anti-abortion candidate who aired graphic television commercials with footage of dismembered fetuses .
abroad go -1	The card will be automatically every two years , which means that you do not have to worry re-applying each time you go abroad .
abroad going -1	The reason American tourists became a byword for vulgarity in Europe was that suddenly they were working-class Americans going abroad .
abroad home -2	He may have come to this decision in 1531 or 1532 and then proceeded cautiously because of the fear of opposition both at home and abroad .
absence sickness -1	Similarly , participants who reported negative support from their closest friend or or financial difficulties had higher rates of sickness absence .
absolutely certain 1	It may be tiring but keep until you 're absolutely certain somebody has seen you and is on their way .
absolutely clear 1	It is important that the tasks upon are absolutely clear .
absolutely essential 1	However , the needs of the 1970s to the present day have made representation in established and new financial centres absolutely essential .
absolutely free 1	THEY are the picture cards fans will be to get their hands - and they can be yours absolutely FREE .
absolutely hon -3	My hon. Friend is absolutely right , but the international comparisons are even more .
absolutely necessary 1	Already the vehicle contains a high proportion of recycled metal ( steel and aluminium ) , with zinc only used where absolutely necessary .
absolutely sure 1	Positive test results are usually double checked in different ways to make absolutely sure , and can be relied on .
abu dhabi 1	I knew this plague of the tropics had found its way to Abu Dhabi .
abundantly clear 1	This is made abundantly clear at our first committee meeting in the bar of the Gardener 's Arms .
abuse solvent -1	Drugs include any other than alcohol therefore solvent abuse and may be covered by this offence .
abused sexually -1	Such children will have passed a string of carers and may have been physically and sexually abused .
ac milan 1	The allegation is strongly denied by the European Cup finalists , and will not be heard until after Wednesday 's match with AC Milan .
academic community 1	Earlier in this book , we saw that there is no single group which forms the academic community .
academic freedom 1	In this chapter , I have shown that we do not have to think of academic freedom in this way .
academic year 1	A similar study of modular Stage I assessment data ( 1986 ; see Table 6.2 ) showed that there was modular provision and enrolment over the academic year .
academy british -1	Candidates accepted for full-time programmes may apply for studentships from the British Academy or ESRC .
accept difficult -2	Coleridge found it difficult to accept failure quite so dispassionately .
accept fact 2	Do you accept that fact that it 's only a quarter of people ?
accept offer 2	The customer who takes them from the shelf therefore does not accept an offer .
accept prepared -2	However the long-term decline of the West Coast main line was not a prospect that InterCity was prepared to accept .
accept refused -2	Hiding inside her head , Jezrael refused to accept the world of blue .
accept willing -2	Signor Valenti was willing to accept him as a son-in-law .
acceptable perfectly -1	The PG404 out at 4ppm ( pages per minute ) , and the output quality is perfectly acceptable .
acceptable socially -1	Being fat and forty and hating one 's wife and job were none of them socially acceptable .
accepted invitation 2	Ms Wilikins was unconvinced , but she had accepted the invitation .
accepted widely -1	Although Churchill sometimes appeared to be unhappy about it , planning for the peace was widely accepted as a legitimate political task during the war .
access easy -1	A designed with their needs in mind can be found not far from the car park , and a concrete ramp allows easy access .
access equal -1	Will he confirm categorically TECs will have equal access to the funds that he has made available under the White Paper , excellent as it is ?
access lexical -1	Table 5.1. below gives some performance figures for the and RM1 lexical access components .
access random -1	Soon the intolerable mysteries of Mediterranean life would be swept away by the electronic wonders of real time and random access for all .
access right -2	Even the lists have been revised and filled out , inspectors have no right of access to examine interiors .
accessible easily -1	After researching the project for a year , Paul Vincent decided to look for premises with a shop that would make the centre easily accessible .
accident emergency 2	The shadow fundholding scheme has since been extended to small practices and to a trial of fundholding for all services except accident and emergency .
accident general -1	There was an encouraging improvement in General Accident 's performance in the US .
accidents fatal -1	It transpired that somehow the clips had twisted and become from the rail , causing the only fatal accidents during the entire training programme .
accommodation rented -1	They are particularly useful for temporary and rented accommodation because they can be so easily taken up and put down .
accommodation residential -1	Why ca n't there be residential accommodation for out-of-London MPs ?
accommodation secure -1	At present , too many young offenders are being remanded in prisons because local authorities lack enough secure accommodation for them .
accommodation temporary -1	Most of the firms affected were open for business on Monday morning ; all had moved into temporary accommodation by mid-week .
according mr 2	Conversely can be a disadvantage too , according to Mr Queen .
according whether 2	It seems appropriate to distinguish two kinds of contextual selection , according to whether the selected sense is established or not .
account loss -1	For listed companies the earnings per share on a net basis should be disclosed on the face of the profit and loss account .
account profit -3	For listed companies the earnings per share on a net basis should be disclosed on the face of the profit and loss account .
accountancy p 2	In last month 's ACCOUNTANCY ( see p 96 ) , I discussed the importance and aims of a good transfer policy .
accounting policies 1	SSAP 2 requires disclosure of deviations from the four concepts and from generally accounting policies .
accounting standards 1	The financial statements are prepared under the historical cost convention modified by the revaluation of properties and in accordance with applicable accounting standards .
accounts department 1	The accounts department will have automatically deducted - and for - the PAYE on your earnings as a salaried employee .
accurate picture 1	But in the circumstances of this case , that was not an accurate picture .
accustomed become -1	The bridge of the was far larger than the Navy pattern to which he had become accustomed .
acetic acid 1	The geologists took the nodules back to the laboratory and soaked them for months in acetic acid .
achieve able -2	By varying the and the pitch you should eventually be able to achieve a true round loop .
achieve difficult -2	A comfortable position for when needs to be undertaken at close range is in some respects more difficult to achieve than it is for .
achieve order -2	The first in the process of design can therefore be performed by describing the association of named spaces in order to achieve a desired function .
achieve trying -2	There is no question that well designed Italianate lent itself admirably to that display of powerful dignity which the railways were currently trying to achieve .
achieve want -2	Put them in and be sure you know and he understands what you want to achieve .
achieved without 1	All of the assumes perfectly cores and windings and in practice is not easily achieved without and fiddling adjustment .
achievement record -2	As new qualifications are gained the will be updated automatically i.e. it is a cumulative record of achievement .
achievement records -2	Indeed the DES has currently funded a major research project to evaluate the pilot it has funded , for example for records of achievement .
achievement sense -2	The pain , agony and exhaustion were replaced by an enormous sense of achievement and relief as they crossed the finishing line .
achieving towards -1	Motivation is the process whereby goals are recognized , choices are made ( consciously or not ) and energy is directed towards achieving the goal .
achieving way -2	We need an improved education system , and the will go a long way to achieving that for the benefit of our children .
acid acetic -1	The geologists took the nodules back to the laboratory and soaked them for months in acetic acid .
acid arachidonic -1	The most abundant of these acids in human tissue is arachidonic acid ( Crawford , 1983 ) .
acid bile -1	There was a wide range of fractional catabolic rates , with 15 patients displaying abnormal values indicating bile acid malabsorption .
acid house 1	Maybe they 're having Acid House parties or car sales .
acid hydrochloric -1	But later on-site tests showed that a low concentration of hydrochloric acid had escaped .
acid nitric -1	Knitted catalyst products for the nitric acid industry are produced at our Noble Metals facility at Royston , UK .
acid nucleic -1	Science is still on the handedness of all sub-units of protein and nucleic acid in earthborn cells .
acid output 1	A major reason for this is the technical difficulty of reliably acid output in response to a meal .
acid rain 1	It is largely our need for electricity and transport and our demand for consumer goods that ultimately leads to acid rain .
acid sequence 1	The corresponding rat amino acid sequence as predicted from cDNA was also described to be 100 % identical ( 3 ) .
acid sulphuric -1	Hydrochloric acid is sometimes replaced by nitric or sulphuric acid .
acids amino -1	The sequence of four nucleotides along the DNA molecule constitutes a gene that codes for the sequence of the 20 different amino acids in proteins .
acres million -1	It was suggested that no fewer than 300 million acres of grain-growing land were opened up by this railway .
across away -1	He did n't look back and I watched him cross the road , climb a wall and away across the fields towards the river .
across chest 2	There was a definite warning in his eyes now , as he stood away from the and his arms across his chest .
across come -1	It also has the effect of making doctors jittery about stopping at road accidents which they come across .
across comes -1	A fifth avenue is that of serendipity , a doctor comes across homoeopathy purely by chance .
across coming -1	No , well it 's the filter goes when there 's traffic coming across from the other side .
across glanced -1	He squeezed Chuck 's forearm then glanced across at his younger son .
across valley 2	The fog had thickened , so that the enemy now lay concealed by the screen of mist across the valley .
across views -1	Set amongst trees and gardens , these very attractive studios and apartments are opposite the beach and have fantastic views across to mainland Greece and Albania .
across walk -1	If I allow myself to move one single muscle I shall walk across that floor and tear him apart .
across whole 2	Such study can deepen RE as well as promote spiritual awareness across the whole curriculum .
act contract -2	Suppose a contract of sale contains an exemption clause ; suppose also that exemption clause is rendered ineffective by the Unfair Contract Terms Act .
act double -1	The O'Neil double-act started up again at the other end of the church , Denis responding to Paddy .
act evidence -1	Irving had studied the 1984 Police and Criminal Evidence Act proposals to legislate for interrogation and prisoner control .
act insolvency -1	The relevant date will be the making of a bankruptcy order under s278 ( a ) of the Insolvency Act 1986 .
act justice -1	The documents were handed over on the grounds that this could be compelled under section 2 ( 2 ) of the Justice Act 1987 .
act sale -3	If you buy a second hand car from a car dealer you would have your three statutory rights under the Sale of Goods Act .
act secrets -1	Unlike BBC employees or technicians , they are covered by the Secrets Act - which imposes prison sentences for unofficial leaks .
act services -1	Necessarily , the scheme has had to be approved through the procedure out in the Courts and Legal Services Act 1990 .
act together 1	SUNDERLAND caretaker boss Malcolm Crosby has hit out at transfer-listed striker Thomas Hauser and told the towering target man to get his act together .
act unfair -3	Suppose a contract of sale contains an exemption clause ; suppose also that exemption clause is rendered ineffective by the Unfair Contract Terms Act .
acted upon 1	It should be acted upon , and a number of these practices should be banned .
acting behalf 2	Mendoros joined in the early days , taken on as a quality engineer by GE acting on behalf of .
action cause -2	The Court of Appeal held there was no cause of action .
action committee 1	Numerous items of correspondence have been received and sent by the tennis action committee but there is no progress to report .
action courses -2	By and large , information in files or computers is used mostly for packaging proposals and rarely for or initiating and evaluating alternative courses of action .
action direct -1	Direct action by central government would necessitate substantially expenditure and therefore revenue .
action disciplinary -1	It recommended disciplinary action against the department 's bureau of political-military affairs for failing to stop the violations .
action effective -1	Those which give for concern are primarily the responsibility of the leadership to ensure and effective action .
action ideas -2	There 's no upper limit - so put your ideas into action - pick up a leaflet today .
action immediate -1	IN A dramatic challenge to the credibility of the rights conference going on in Vienna , Bosnia yesterday demanded immediate action to end the slaughter in .
action industrial -1	A recent ballot of the workforce at over the issue resulted in a 2-1 in favour of industrial action .
action legal -1	There is enough truth in these cynical barbs to justify your thinking twice about becoming directly involved in legal action .
action military -1	The S S was an elderly steam freighter , serviceable for short hauls but not built for military action .
action outdoor -1	All you need to do to get this indispensable item is to take out a new subscription to Outdoor Action .
action political -1	Particular attention will be given to the campaign for black sections in the Labour party and to non-parliamentary forms of political action .
action positive -1	Tired as he was , Ramsay was glad enough to leave the slow and wearisome convoying of cattle for swift riding and positive action .
action social -1	This contrast brings with it different theories of social action and how to study it .
action strike -1	Nor would rank and file trade unionists give up their rights to be ballotted on strike action and the appointment of officials , Mr Hammond said .
active citizenship 1	A balance is required between and participatory democracy to allow for a more active citizenship .
active economically -1	I had a discussion with a middle-class woman who argued that women are more liberated than Western women because they are more economically active .
active member 1	I am a professional artist and also an officer of the and a very active member of wildlife organisations .
active pro -1	The approach to pro-active searches is well established and involves a combination of desk and research .
active service 1	Above all , Alexander overrode his cautious War Minister in the one region of the empire troops were still on active service .
actively involved 1	A number of the disabled professionals were actively involved in disability issues .
activists rights -1	Detectives dismissed the theory the attack was carried out by animal rights activists after the farm owner found the bodies of two pigs .
activities including 1	In 1910 the regularly the Club 's activities including a gross 73 a friendly by the Hon .
activities outdoor -1	Q We have just opened a new gymnasium on our army camp and are desperate to get hold of any posters illustrating outdoor activities .
activity economic -1	The jump in bond yields has been mainly explained by concerns ( among bond investors ) about stronger economic activity both in Japan and abroad .
activity human -1	At worst there is a parochialism about this culture even though its completeness embraces a wide range of human activity and .
activity motor -1	In fact , none of the inappropriate relaxations of the lower oesophageal sphincter was accompanied by this type of non-deglutitive motor activity .
activity physical -1	Regular physical activity can help you control your weight and can help protect you against heart disease .
activity political -1	Ever since Machiavelli wrote The Prince and The Discourses in the sixteenth century he has been associated with the ugly side of political activity .
activity sexual -1	Even physical disabilities caused by illnesses such as strokes and arthritis need not signal the end of sexual activity of this kind .
activity volcanic -1	There is no very clear evidence for volcanic activity on the Mercurian surface and none at all for Plate Tectonics .
actual bodily 1	Does the accused have to intend to cause or be reckless as to causing actual bodily or is intention to recklessness as to battery sufficient ?
actual fact 1	It is only now clear to me in actual fact it must have been a day later .
actually happened 1	In spite of all the worrying about it the next stage with Edward still took Sally by surprise when it actually happened .
actually made 1	The aim of the research is to build mathematical models of how such decisions are actually made .
actually use 1	However , problems arise when the author describes how to actually use the gear .
actually without -1	What a relief then to read Charles Dickens 's description of the miseries of feeling seasick without actually being sick .
acute particularly -1	Because Britain had been producing nuclear power longer than most other countries , this was a particularly acute problem .
acutely aware 1	Lloyd 's has become acutely aware that it is business to large companies , notably in Britain and Europe .
ad century -1	The illustrated example was also found in Hertfordshire , and from the late 1st or 2nd century AD .
ad guardian -1	There may be circumstances in which a local authority or the NSPCC to disclosure of certain documents to parties other than the guardian ad litem .
ad hoc 1	The pollution standards in a consent are defined locally by each water authority and are specific in application , with each consent an ad hoc basis .
ad litem 1	There may be circumstances in which a local authority or the NSPCC to disclosure of certain documents to parties other than the guardian ad litem .
adam eve 2	Set in 1680 , it ended with a dance around the hall 's famous Adam and Eve trees .
adams gerry -1	SINN Fein President Gerry Adams has claimed there is little active support internationally for the cause .
added advantage 1	This has the added advantage of making a nice contrast to the night scenes in the previous sequence .
added tax 1	The most important taxes are income tax and expenditure taxes such as value added tax ( VAT ) .
addiction drug -1	That included his descent into drug addiction and his relationship with his father , the Duke of Marlborough .
addis ababa 1	Up to seven people were killed when forces fire on demonstrators in Addis Ababa on May 29 .
additional resources 1	Proposals to curb litter and did not go far enough and would land local authorities with extra bills but no additional resources .
address book 1	Her bank book showed regular monthly deposits , and an address book lists of military numbers .
address home -1	The simplest method of storage is to place a synonym in the first vacant record position following its home address .
address problem 2	There have been attempts to address the problem of third parties , for example by the International Law Commission and the International Court of Justice .
addressed stamped -1	Please put your name on the back of the photograph - only those entries submitted with a stamped addressed envelope will be returned .
adjustment structural -1	The assessment of structural adjustment loans is even more problematic than the assessment of rural development projects .
administration business -1	Enterprise also a number of major contracts in both the Public and Private sectors to train and accredit staff in Business Administration .
administration clinton -1	It would be wrong to the Clinton administration for criticism .
administration reagan -1	The intercontinental B-1B bomber 's electronic countermeasure system will never have the full capabilities touted by the Reagan administration .
administrative costs 1	We are grant towards our office and our full time Secretary , our development officer and all the administrative costs that are incurred .
administrative law 1	Generally , the area concerned with administration is known as or administrative law .
adolf hitler 1	Mr Irving 's denial that the Holocaust never and his defence of Adolf Hitler has incensed the relatives of those who died in death camps .
adult universal -1	Legislative power is vested in a unicameral National Parliament , the 109 members of which are elected for up to five years by universal adult .
advance well -2	All staff are invited to suggest ( in writing please ) topics for discussion at any meeting , provided these are submitted well in advance .
advantage competitive -1	We are convinced that managers who develop their resources in conjunction with implementing [ Advanced Manufacturing Technology ] will achieve a competitive advantage .
advantage full -1	Villa had always been in command , but a combination of poor and fine goalkeeping by David Seaman prevented them taking full advantage .
advantage great -1	Long drawn out and unpredictable as the process may be , it has one great advantage for the policy-maker .
adverse effect 1	Is this likely to have any adverse effect on the engine ?
adversely affect 1	The enlarged company is entering a period of and product development which will adversely affect performance in 1993 and 1994 .
advertising agency 1	But then the managing director of the advertising agency responsible for the advertisement owned up .
advertising campaign 1	REACHING for the Sky - stars of the League who will feature a massive TV advertising campaign .
advice bureau 1	But if hobbies like , gardening and DIY fail to hold her attention she is threatening to help out at her local Citizens ' Advice Bureau .
advice bureaux 1	There may be other local groups who can be contacted through lists at public libraries , or Citizen Advice Bureaux .
advice citizens -1	But if hobbies like , gardening and DIY fail to hold her attention she is threatening to help out at her local Citizens ' Advice Bureau .
advice money -1	Every year , half a million problems were tackled by Money Advice agreements .
advice sound -1	Everything from size and weight to blood pressure was recorded in a 20 minute session which included some sound advice for healthy living .
advice workers 1	Benefits calculation packages are especially popular with inexperienced advice workers to ensure that they have followed every avenue of enquiry .
advise able -2	To find out which to go for , independent financial advisers and stockbrokers are able to advise trusts specialising and in particular areas .
advised ill -1	The were clearly ill-advised in the first to have increased the money for Birmingham this year .
advised well -1	Those who are troubled by questions of style and grammar would be well advised to read Complete Words , by Sir Ernest Gowers .
advisers financial -1	The Firm will normally act agreed bids ie where the target 's board and Financial advisers are willing to recommend the terms of the offer .
advisers professional -1	The report is provided for the sole use of the named applicant and the society and is confidential to the applicant and his professional advisers .
advisory committee 1	With this effort to deploy for the arts in New York has come a proliferation of arts alliances , organizations and advisory committee .
advisory council 1	The comes up for re-authorisation next spring , while the current chairman has recently rejected applications for by the advisory Council on the Arts .
advisory group 1	The decision to initiate the award scheme was taken by the BMC 's management committee following the recommendation of its training advisory group .
aea technology 1	Eavesdropping on process plant could alert engineers to problems in time to prevent a serious accident , according to the diagnostics team at AEA Technology .
aerospace british -1	And while one is busy throwing the rotten eggs , who can forget the duplicity of the DTI over the disposal of to British Aerospace .
affair love -1	Coming up in a few minutes , the artist who 's had a six year love affair with the Malvern Hills .
affair whole -1	Mr Punch 's attitude to the whole affair was thoroughly ill-tempered .
affairs financial -1	If considered appropriate by the OR a public examination of the debtor will then be held and creditors can examine him his financial affairs .
affect adversely -1	The enlarged company is entering a period of and product development which will adversely affect performance in 1993 and 1994 .
affect likely -2	But this must be balanced by an overview about trends in customer behaviour , economic conditions ( etc ) that are likely to affect loner term market conditions .
affected badly -1	There was even some downturn in Japan , though Wedgwood remains the leading imported brand and was not as badly affected as many other goods businesses .
affected seriously -1	But the Department of Transport claims the couple will not be seriously affected .
affecting factors -1	The theme selected for the research was an investigation into social factors affecting output .
afford able -2	I asked the Czech manager if they would be at Rutland Water in June and he said they would not be able to afford it .
afford pay 2	Councils that rather than run down the it was better to charge those who could afford to pay and keep the total level of service .
afield far -1	His friends had stopped and the workshops he took these days were in colleges far afield .
afraid ca 2	I said that 's business I said and I 'm afraid we ca n't carry on like that .
african countries 1	Generally , Zimbabwe 's economic situation is a good deal healthier than that of many other African countries .
african west -1	Like a number of his West African counterparts he had read the writings of Marcus Garvey .
africans south -1	Perhaps Cranmer 's most exciting inning was his 90-minute century against the South Africans at Edgbaston in 1947 .
afro caribbean 1	The robbers described as Afro- Caribbean made off with an unspecified amount in cash and jewels .
afternoon monday -1	Sixty three is the temperature expected in Nottinghamshire this Monday afternoon .
afternoon thursday -1	The three off in one of the most attractive groupings over the first 36 holes at 2.10pm on Thursday afternoon .
afterwards immediately -1	If it is not allowed then try and fill it immediately afterwards when the pressure is off .
afterwards shortly -1	However , burying a pet in your garden may stir up a variety of unexpected emotions shortly afterwards .
ag nixdorf -2	But even the problems of these companies seem to pale into insignificance compared with those of Siemens Nixdorf Informationssysteme AG .
agatha dame -1	Corbett let his mind drift , feeling guilty because when he thought about he also kept remembering Dame Agatha 's angelic face .
age concern 1	Woolworths has supported Grandparents Day since it started in 1990 and is donating 10 per cent of all sales of Grandparents Day greeting cards to Age Concern .
age golden -1	Besides the cyclical view and the progressive , there was the important tradition concerning a Golden Age in the remote past .
age ice -1	It is only a few years ago that we were being warned about the arrival of another ice age , for heavens ' sake !
age iron -1	It was found in what was a pool in the iron age .
age middle -1	In Western populations a fairly large proportion of people develop difficulty in carbohydrates in their diets during middle age .
age older -1	Increased prosperity , improved diet and improved health services were the main factors for improvements in health by the older age groups ( Table 6.1 ) .
agency advertising -1	But then the managing director of the advertising agency responsible for the advertisement owned up .
agency atomic -2	If Iran is cheating nuclear weapons , the International Atomic Energy Agency has yet to catch it at it .
agency estate -1	The rate increase is doubly painful for societies with large loss-making estate agency chains .
agency european -2	But MEPs complained that the package had reappeared for a second minus the crucial proposal to create a European Medicines Agency .
agency news -1	The official admission came a statement by the Tass news agency .
agency protection -1	A possible link between cancer and electromagnetic radiation from power lines and appliances has now been accepted by the US Environmental Protection Agency .
agency space -1	After much painful it was decided in 1973 to fold both and into a single European Space Agency ( ESA ) .
agenda hidden -1	That HIDDEN AGENDA was made at all is remarkable in the current state of British film production .
agenda political -1	What new intellectual and political agenda does this reorientation imply ?
agent estate -1	There 's nothing stopping you putting your own small ads in local papers and newsagents ' windows , as well as using an estate agent .
agent travel -1	You have probably been given this brochure by your local ABTA Travel Agent .
agents estate -1	He was then sent out to work , first at a factory in the East End of London and then at an estate agents .
agents travel -1	Discounts are the biggest attraction with two out of three holidaymakers to book early , says a survey by the Association of British Travel Agents .
ages ago 1	He knew you ages ago , when you lived in England - David Harland .
ages different -1	Farr calculated the contribution of workers to economic growth by estimating the future earnings of labourers dying at different ages .
ages middle -1	They look at examples of illuminated manuscripts , and investigate how they can be used as evidence for life in the Middle Ages .
aggregate demand 1	On the contrary , they will change their method of forming expectations in line with the process for determining the money supply and hence aggregate demand .
aggregation platelet -1	A positive correlation was found between glycosylated haemoglobin concentration and the prostacyclin concentration necessary to inhibit ADP-induced platelet aggregation by 50 per cent .
aggressive behaviour 1	However , at every age there are wide differences among individuals in the circumstances leading to and in the amount of aggressive behaviour displayed .
ago months -1	STEPHEN HENDRY continues to walk a tightrope between success and failure as he strives for the form that made him world just ten months ago .
ago weeks -1	THERE has been a considerable outcry from St Helens supporters over the ban on the club 's Kiwi loose forward Shane Cooper two weeks ago .
agrarian reform 1	The new government about reversing previous policies , not least of which was agrarian reform .
agreed also -1	The two countries also agreed to allow direct air flights from Pyongyang to Tokyo .
agreed go 2	There is a story currently being developed by the Press Association that David Batty has agreed to go to Blackburn ! ! ! !
agreed pay 2	In Sweden employers have agreed to pay the fees of union researchers/consultants on charge .
agreed take 2	I do n't think she would have agreed to take her hat and gloves if she did n't want to .
agreement anglo -2	We will build on the close security co-operation that has been established with the Republic of Ireland under the Anglo-Irish Agreement .
agreement heads -2	Section 0610 provides comprehensive listings of the contents , conditions and definitions which might be found in a heads of agreement letter .
agreement irish -1	We will build on the close security co-operation that has been established with the Republic of Ireland under the Anglo-Irish Agreement .
agreement peace -1	However , the USA has said it may back the lifting of the UN embargo if the Serbs do n't sign a peace agreement soon .
agreements international -1	Does China still refuse to join international agreements on nuclear proliferation or are there signs of a softening of its position ?
agricultural common -1	This would effectively end the problems of over-production which have interfered with the workings of the European Community 's Common Agricultural Policy .
agricultural policy 1	This would effectively end the problems of over-production which have interfered with the workings of the European Community 's Common Agricultural Policy .
agricultural production 1	In an effort to reduce overproduction of food , the suggestion has been made in lowland Britain be taken out of agricultural production and .
agricultural products 1	Holland in any case had a vested interest in Germany 's revival as a market for her agricultural products .
agricultural workers 1	In addition , farmers can maintain a greater degree of social control over agricultural workers living tied accommodation .
ahead goes -1	And other royals such as Prince Charles are likely to cancel any leisure they had while the family crisis summit goes ahead .
ahead press -1	The election result has given the Conservatives five years in which to press ahead with the changes .
ahead straight -1	As the doors slid he glanced at the middle-aged couple who got out but then stared straight ahead again .
ahead way -1	A modern technique known as forms mode entry eliminates many data preparation problems and undoubtedly represents the way ahead .
aid board 1	The charge generally ensures that the Legal Aid Board is not out of pocket .
aid christian -1	She is an educationalist working with local groups and is in Britain as a Partner between Christian Aid and the Church .
aid first -1	Sec. , Ken Lucas in support with a car carrying liquid refreshments and first aid kit !
aid foreign -1	One legacy of the bloodshed and disruption of the 1980s is a desperate need for foreign aid to rebuild the region 's crippled economies .
aid hearing -1	Maskers are on sale through hearing-aid dispensers and may be prescribed under the NHS .
aid humanitarian -1	They can and have safeguarded the provision of humanitarian aid .
aid legal -1	Moreover , had the potential of extending beyond the green form scheme to civil and criminal legal aid .
aid scheme 1	For the areas of traditionally offered by lawyers , the legal aid scheme provides very good coverage for the poor .
aided computer -1	Computer-aided design then becomes seen as a threat rather than a design aid .
aim main -1	Then if growth rather than income is your main aim add America and Japan .
aim research 3	The aim of the research is to build mathematical models of how such decisions are actually made .
aim study 3	The aim of this study was to investigate the effects of supplemental oxygen both during and after upper gastrointestinal endoscopy .
aims main -1	Having decided to try and help what would be your main aims or goals ( no more than three ) ?
aims provide 2	The Oxfordshire scheme aims to provide a 6-month intensive programme .
air conditioned 1	Of course , the room is air conditioned all the time .
air conditioning 1	This will provide for over 600 square metres of new gallery space and the upgrading and air conditioning of over 1 , 100 further square metres .
air raid 1	Cherry went on to become a popular radio broadcaster and was sadly killed when leaving House during an air raid in 1940 .
air raids 1	Mrs Mitterrand has long been a defender of the Kurdish cause and last July toured the area where the weekend air raids took place .
air traffic 1	Exercises follow the sequence of a typical flight , and each unit introduces and practices the language of a particular aspect of air traffic communication .
air transport 1	The combined effect of these problems is currently felt in the Spanish railways ' extremely low commercial speeds which greatly competition with road and air transport .
aircraft anti -1	A fourth was shot down by concentrated anti-aircraft fire .
aircraft fighter -1	The thirty-six aircraft had been increased or about thirty-six Soviet fighter aircraft .
aircraft light -1	The very active New Zealand tourist industry is closely enmeshed with light aircraft .
aires buenos -1	The match was played very unpleasant conditions of wind and pouring rain and proved very one-sided , Buenos Aires dominating the game .
airing cupboard 1	Leave the pot in a warm , dark for a few weeks - the airing cupboard is best .
airport heathrow -1	It was clear when we arrived at Heathrow airport security was very tight .
airport international -1	I made noises about the absence of a bank in this so-called international airport ; but what choice did I have ?
al et -1	Finally , the possible mechanisms underlying the cyclic fragmentation and reassembly of continents are discussed at an introductory level by Nance et al .
alain prost 1	But 30-year-old Londoner Hill is certain to become the former world Alain Prost 's number two for several hard reasons .
alan milburn 1	He was criticisms from Darlington 's prospective Labour candidate Alan Milburn , who says cash in training have halved the number of places available on courses .
alan shearer 1	SOUTHAMPTON 'S Neil Maddison last night former team-mate Alan Shearer a vote of thanks for sustaining his career .
alan smith 1	The only staff who have not taken a drop in their pay packets are manager Steve Coppell , his Alan Smith and the players .
alarm clock 1	With an almost childlike whoop of delight she out of bed , quickly stifling the sound as she caught sight of her alarm clock .
